Object,Percentage,Num objects,Total num objects,NNE,Duration NNE,NNT,Duration NNT,GCL,Duration GCL,NNE VND,Duration NNE VND,NNT VND,Duration NNT VND,GCL VND,Duration GCL VND
Violetgrass,0.1,20,200,137.97704432422807,0.006299257278442383,26.714776642118867,0.4604368209838867,68.74487516520337,0.631742000579834,79.30352951448614,0.3223447799682617,26.714776642118867,0.09692525863647461,68.74487516520337,0.10222768783569336
Violetgrass,0.25,50,200,405.1135682934703,0.025603055953979492,88.74195810761994,1.1357345581054688,175.46740872992842,1.318169116973877,194.035460906371,1.4790453910827637,88.74195810761992,0.11889004707336426,174.93765357360462,0.17937922477722168
Violetgrass,0.5,100,200,801.4078392090706,0.02503800392150879,259.8439185151336,1.8379871845245361,329.9535139099487,2.521958112716675,401.0481515683374,2.8359153270721436,259.8439185151336,0.1396622657775879,321.66280232014424,0.5120689868927002
Violetgrass,0.75,150,200,1211.7489489160416,0.030512094497680664,440.7521137912974,2.3981399536132812,496.615290418846,3.7925617694854736,561.7755651535633,3.6202645301818848,435.70449709775585,0.47611284255981445,479.93476534005725,0.6340789794921875
Violetgrass,1.0,200,200,1521.3055086912989,0.032888174057006836,693.8878949785648,2.5755228996276855,698.6944173643749,5.217489004135132,728.3615462084603,0.5999882221221924,686.7064277240995,0.19029927253723145,686.7064277240993,0.18862342834472656
Qingxin,0.1,14,143,61.26276474512644,0.0027511119842529297,19.53663105724556,0.20333194732666016,31.767300732792073,0.4463460445404053,42.6902216661434,0.14020681381225586,19.53663105724556,0.052265167236328125,31.767300732792076,0.06595444679260254
Qingxin,0.25,35,143,243.09759179662512,0.007823467254638672,71.11376848461299,0.4497518539428711,115.63472235592275,0.5553772449493408,144.10283432656513,0.4517955780029297,71.11376848461298,0.05480551719665527,114.87079033342255,0.10815215110778809
Qingxin,0.5,71,143,717.596512471189,0.013344764709472656,199.22458778460063,0.6631090641021729,294.91266196679226,0.8695189952850342,307.80580544398157,1.4601612091064453,195.69672373960023,0.20688390731811523,265.1159835905988,0.4363081455230713
Qingxin,0.75,107,143,1086.6217467345982,0.01594257354736328,376.8275632316561,0.8427085876464844,416.5475096542972,1.3065001964569092,471.6488726479502,1.8091275691986084,373.2996991866556,0.2030491828918457,412.5744299894849,0.20892810821533203
Qingxin,1.0,143,143,1579.4171659318934,0.01680159568786621,621.3836305402342,0.9212994575500488,622.9868236096895,1.6556980609893799,642.6499517941597,0.4517378807067871,618.6300953327146,0.12066507339477539,619.0137439448773,0.11564397811889648
Naku Weed,0.1,12,121,52.73922987939869,0.0019698143005371094,13.828427124746192,0.14356684684753418,21.320327917582855,0.18851232528686523,26.74399662294627,0.06003856658935547,13.828427124746192,0.03628993034362793,21.320327917582855,0.0390467643737793
Naku Weed,0.25,30,121,137.62993178726177,0.0068836212158203125,45.66562126173752,0.19902896881103516,81.29732865900743,0.3493332862854004,71.1283821962907,0.1400439739227295,45.6656212617375,0.04122281074523926,67.5601922820052,0.19835424423217773
Naku Weed,0.5,60,121,412.2868475338474,0.010254383087158203,115.15618059365798,0.3715810775756836,142.51697639535126,0.5787899494171143,144.70009354710325,0.6956548690795898,114.97803500878466,0.07718634605407715,130.0159079958489,0.22575688362121582
Naku Weed,0.75,90,121,515.2914412600828,0.011021614074707031,181.30408108413064,0.46520328521728516,228.79814870266793,0.7582440376281738,224.47417532023053,0.7936685085296631,177.19043060150335,0.1518077850341797,206.63454033556826,0.3804662227630615
Naku Weed,1.0,121,121,655.1036706998003,0.011677026748657227,308.90563201398595,0.4561481475830078,316.92730361812426,1.012279748916626,310.7665923795202,0.13267898559570312,300.7958671468068,0.07957649230957031,303.0030868882353,0.08629059791564941
Dandelion Seed,0.1,4,43,34.98384838948171,0.0003380775451660156,8.30056307974577,0.009166240692138672,11.84161925296378,0.04247426986694336,5.242640687119287,0.0046880245208740234,8.30056307974577,0.003884553909301758,11.84161925296378,0.00382232666015625
Dandelion Seed,0.25,10,43,127.85768764908458,0.0010094642639160156,25.925879193046843,0.011107921600341797,28.03831746054603,0.05239248275756836,37.2185009507552,0.026777982711791992,25.925879193046843,0.005426645278930664,28.03831746054603,0.0064051151275634766
Dandelion Seed,0.5,21,43,218.1153072248964,0.0012352466583251953,69.31666810085953,0.015006303787231445,95.35704214021993,0.05370783805847168,83.84507761171585,0.0365300178527832,68.48571620601423,0.009072542190551758,94.52609024537463,0.009970664978027344
Dandelion Seed,0.75,32,43,395.2520271442489,0.0013422966003417969,152.3186127030914,0.018718242645263672,151.33683865427193,0.05697989463806152,142.5705738640486,0.05201578140258789,145.19749841080295,0.015776872634887695,150.50588675942663,0.008208751678466797
Dandelion Seed,1.0,43,43,1051.9541358460617,0.0017344951629638672,214.33681402754866,0.020328521728515625,214.33681402754866,0.06594181060791016,209.66982912487046,0.014913558959960938,213.50586213270336,0.0061991214752197266,213.50586213270336,0.004830837249755859
Windwheel Aster,0.1,4,43,14.462185144412171,0.0002827644348144531,6.23606797749979,0.007333517074584961,6.23606797749979,0.04625415802001953,14.462185144412171,0.0046160221099853516,6.23606797749979,0.0038001537322998047,6.23606797749979,0.004726409912109375
Windwheel Aster,0.25,10,43,30.882796298554066,0.0005981922149658203,19.53663105724556,0.013091564178466797,18.536631057245557,0.047374725341796875,27.06399943464891,0.009425163269042969,19.53663105724556,0.0047664642333984375,18.536631057245557,0.005099773406982422
